score,SMILES,Name
0.907,C[C@H](NC(=O)CN)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1730665
0.816,O=C1NCCN[C@@H]1C(=O)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_215366323_1592098
0.852,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2ncccc2c1=O,331646_20436848_1592098
0.847,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2cc(=O)[nH]cc2c1=O,14982074_20436848_1592098
0.82,Cn1c(=O)ncc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc21,5424162_20436848_1592098
0.919,C[C@@H](O)[C@@H](O)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1695857
0.964,O=C(CO)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_4692578_1592098
0.908,O=C(CN1CCOCC1)n1c([C@H]2NCC[C@@H]2O)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_4096639
0.801,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2c(cnc3ncnn32)c1=O,14608640_20436848_1592098
0.888,CNC(=S)NC(=N)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_33691246_1592098
0.919,O=C(CN1CCOCC1)n1c([C@@H]2CNC[C@H]2O)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_14507986
0.897,O=C(CN1CCOCC1)n1c([C@H]2C[C@H](O)CN2)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_895457
0.796,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2ccncc2c1=O,333065_20436848_1592098
0.957,N=C(CO)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_4682886_1592098
0.902,N[C@H]1CN[C@H](c2nc3cc4c(cc3c(=O)n2C(=O)CN2CCOCC2)OCO4)C1,3888941_20436848_95831405
0.904,NC(=O)[C@@H](N)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_2516163
0.848,O=C1C[C@@H](C(=O)n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)CN1,3888941_4301265_1592098
0.874,CN1CC(=O)N=C1n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_967189_1592098
0.847,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2[nH]c(=O)ccc2c1=O,84252933_20436848_1592098
0.846,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2cc(O)ccc2c1=O,13352602_20436848_1592098
0.852,NC(=O)OC[C@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1529574
0.888,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2ccccc2c1=O,47985_20436848_1592098
0.918,COC[C@H](CO)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_21984469_1592098
0.872,O=C(CN1CCOCC1)n1c(Cc2n[nH]c(=O)[nH]2)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_19089113
0.915,CN(Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3)C(=O)CN,3888941_20436848_1742265
0.771,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2c(nnc3ccnn32)c1=O,38700997_20436848_1592098
0.882,Cc1nsc2nc(CNC3=NCCN3)n(C(=O)CN3CCOCC3)c(=O)c12,3349006_20436848_1592098
0.876,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1C[C@H]1COC[C@@H]1O)OCO3,3888941_76570824_1592098
0.911,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1CCOCCO)OCO3,3888941_1760798_1592098
0.846,O=C(CN1CCOCC1)n1c(CNC2=NCCN2)nc2ccc(O)cc2c1=O,2166823_20436848_1592098
0.972,C[C@](N)(CO)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_2042820
0.857,Cc1ccc2c(=O)n(C(=O)CN3CCOCC3)c(CNC3=NCCN3)nc2n1,2585538_20436848_1592098
0.806,Cc1nc2ncc3c(=O)n(C(=O)CN4CCOCC4)c(CNC4=NCCN4)nc3n2n1,49474298_20436848_1592098
0.93,CN(C)C[C@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_19366520
0.842,O=c1c2cc3c(cc2nc(CNC2=NCCN2)n1Cc1nc(CO)n[nH]1)OCO3,3888941_521398993_1592098
0.84,O=C(O)CCNC(=O)Cn1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_1637970_1592098
0.833,O=C(c1ncc[nH]c1=O)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_8657_1592098
0.944,C[C@H](O)[C@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1747072
0.857,N=C(N)NC[C@@H](N)c1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_1576365
0.931,NC[C@H](O)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_901811
0.937,N[C@@H](CO)Cc1nc2cc3c(cc2c(=O)n1C(=O)CN1CCOCC1)OCO3,3888941_20436848_4181821
0.899,O=C(CN1CCOCC1)n1c([C@H]2CNC[C@H]2O)nc2cc3c(cc2c1=O)OCO3,3888941_20436848_14507981
0.81,O=c1nc(-n2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)c(CO)c[nH]1,3888941_399529_1592098
0.798,O=c1[nH]cc(Cn2c(CNC3=NCCN3)nc3cc4c(cc3c2=O)OCO4)c(=O)[nH]1,3888941_20417224_1592098
0.825,O=C1CCNC[C@H]1C(=O)n1c(CNC2=NCCN2)nc2cc3c(cc2c1=O)OCO3,3888941_100191301_1592098
