score,SMILES,Name
0.784,O=C1NCCN1CCn1c([C@@H]2CNC[C@H]2CO)nc2[nH]c(=O)ccc2c1=O,84252933_164791_4203972
0.692,O=C1NCCC[C@@H]1C(=O)n1c([C@H]2CNC[C@H]2CO)nc2cc(=O)[nH]cc2c1=O,14982074_5382647_4203974
0.625,CN1CCN[C@H](c2nc3nc(N)c(Cl)nc3c(=O)n2-c2nc(=O)[nH]cc2CO)C1,21298040_399529_23094286
0.705,Cc1cc2ncc3c(=O)n(CCc4nnn[nH]4)c([C@H]4C[C@H](O)CN4)nc3n2n1,1406919_19090380_895457
0.605,N[C@H]1CN[C@H](c2nc3cn[nH]c3c(=O)n2C2CC(O)(C(=O)O)C2)C1,26895189_114118812_95831405
0.682,Cc1nsc2nc(C(CN)CN)n(C[C@H](O)CN(C)C)c(=O)c12,3349006_19255181_114812654
0.768,CN[C@@H](CO)c1nc2ccc(C(=O)OC)cc2c(=O)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,14985552_146501451_2384916
0.787,O=C(O)[C@@H](CO)n1c(CNC2=NCCN2)nc2[nH]c(=S)ncc2c1=O,6223297_895342_1592098
0.693,C[C@H](NC(=O)Cn1c(CCNC(=N)N)nc2ccc(N)cc2c1=O)C(=O)O,4880181_1730665_901626
0.657,Cn1c(=O)c2c(=O)n(C3[C@H]4CS(=O)(=O)C[C@H]34)c(Cn3ncnn3)nc2n(C)c1=O,26895819_211858069_31319659
0.586,COC(=O)C(C(=O)OC)n1c([C@@H](CO)NC(C)=O)nc2nc(=O)[nH]cc2c1=O,1699911_36532919_158174
0.601,Cn1nnc2nc([C@@H](N)CCO)n(C(=O)N(CCO)CCO)c(=O)c21,104643604_1606275_895146
0.666,CC(=O)OC[C@@H](C(=O)O)n1c(CNC(=O)[C@@H](C)N)nc2cnc(Cl)nc2c1=O,144544129_895446_1575492
0.59,O=C(O)[C@H](O)[C@H](C(=O)O)n1c(C(O)O)nc2nc[nH]c2c1=O,2580801_3875092_6660936
0.723,Cn1cnc2c(=O)n(C(=O)NCCO)c(CN3CCNCC3)nc21,3985038_1587868_19735199
0.652,N=C(O)[C@H](CO)n1c([C@@H]2NCC[C@H]2O)nc2nccnc2c1=O,967253_94437874_895590
0.693,O=C(c1cnc[nH]c1=O)n1c(CNCCO)nc2ncncc2c1=O,967326_8672865_1733659
0.655,CCOC(=O)[C@@H](CO)n1c([C@H](O)[C@@H](C)O)nc2ccc(O)cc2c1=O,2166823_20230747_1695857
0.595,Cn1cc2c(=O)n([C@@H](CC(=O)O)C(=O)O)c([C@H](N)CN)nc2n1,35937644_895032_19363627
0.649,CC(=O)OC[C@H](N)c1nc2cnncc2c(=O)n1[C@@H]1COC[C@H]1O,39083039_12957829_895446
0.666,O=C(O)[C@H](CO)NC(=O)n1c(Cc2nnn[nH]2)nc2ccncc2c1=O,333065_2626461_5178980
0.636,COCCNC(=O)Cn1c(C[C@@H](O)CN)nc2c(nnn2C)c1=O,95761717_4218734_901811
0.713,Cc1cc2nc([C@@H](N)[C@@H](C)O)n(C3=NC(=O)CN3C)c(=O)c2cc1O,96028999_967189_895103
0.718,C[C@@H](O)[C@@H](CO)n1c(C[C@@H](N)C(N)=O)nc2cc(O)ccc2c1=O,13352602_2436826_1607276
0.642,O=C1CC[C@@H](C(=O)n2c([C@H]3NCCNC3=O)nc3cccnc3c2=O)N1,330903_4403946_15442541
0.775,CC(=O)Nc1ccc2nc(CN(C)CCO)n(CCN(CCO)CCO)c(=O)c2c1,4640612_19365633_11862698
0.72,NC(=O)CC[C@H](N)c1nc2c(cnc3ccnn32)c(=O)n1Cc1nnn[nH]1,15021046_5183370_1532526
0.672,Cc1cc2c(=O)n(C(=N)NCCO)c([C@H](N)CC(N)=O)nc2cn1,39066258_1652056_1529313
0.861,COc1ccc2c(=O)n(C(=N)CN3CC[C@H](O)C3)c([C@@H](O)CCN)nc2c1,1604577_203414649_2019611
0.744,O=c1c2nsnc2nc([C@@H]2CNCCN2)n1Cc1nc(CO)n[nH]1,17327931_521398993_19363542
